precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.23,0.23,0.1444444444444442,0.23,0.2,0.2,0.1111111111111111,0.2,0.19371463369450084,0.17379028819453862,0.19371463369450084,0.17379028819453862,0.10412736870373705,0.08198920853358538,0.19371463369450084,0.17379028819453862
0.2,0.2,0.1111111111111112,0.2,0.2,0.2,0.1111111111111109,0.2,0.1921708484502692,0.17757111609684945,0.1921708484502692,0.17757111609684945,0.10241205283369004,0.08619012744229972,0.1921708484502692,0.17757111609684945
0.2,0.2,0.1111111111111111,0.2,0.2,0.2,0.1111111111111111,0.2,0.20795666507280716,0.20337325796433037,0.20795666507280716,0.20337325796433037,0.11995185263791117,0.11485917402242808,0.20795666507280716,0.20337325796433037
0.21,0.21,0.1222222222222223,0.2099999999999999,0.21,0.21,0.1222222222222221,0.2099999999999999,0.22749244027300924,0.20854919962985402,0.22749244027300924,0.20854919962985402,0.14165827099580805,0.12061022117396994,0.22749244027300924,0.20854919962985402
0.24,0.24,0.1555555555555556,0.24,0.23,0.23,0.1444444444444445,0.23,0.2121259165041504,0.24809198387960352,0.2121259165041504,0.24809198387960352,0.12458435431004397,0.16454664703523486,0.2121259165041504,0.24809198387960352
0.3,0.3,0.222222222222222,0.3,0.24,0.24,0.1555555555555557,0.24,0.32845891093329854,0.2771408728123539,0.32845891093329854,0.2771408728123539,0.2538432352314789,0.19682319237718263,0.32845891093329854,0.2771408728123539
0.36,0.36,0.2888888888888887,0.36,0.28,0.28,0.2000000000000003,0.28,0.2845071683104711,0.3174036594594319,0.2845071683104711,0.3174036594594319,0.20500797022203676,0.24155962205633363,0.2845071683104711,0.3174036594594319
0.35,0.35,0.2777777777777775,0.35,0.32,0.32,0.2444444444444445,0.32,0.2840367901594994,0.31603118974325956,0.2840367901594994,0.31603118974325956,0.20448532932645092,0.24003465680218158,0.2840367901594994,0.31603118974325956
0.33,0.33,0.2555555555555553,0.33,0.36,0.36,0.2888888888888887,0.36,0.23216274565077907,0.33577439734500275,0.23216274565077907,0.33577439734500275,0.1468474986306414,0.26197155701128966,0.23216274565077907,0.33577439734500275
0.29,0.29,0.2111111111111112,0.29,0.41,0.41,0.3444444444444445,0.41,0.2764100355156087,0.31694317007889283,0.2764100355156087,0.31694317007889283,0.19601115630281515,0.24104796883118765,0.2764100355156087,0.31694317007889283
