precision,recall,kappa,f1-score,last_precision,last_recall,last_kappa,last_f1-score,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.17,0.17,0.1350562734472697,0.17,0.06,0.06,0.0206292977703687,0.06,0.12868433963538484,0.14706723011376868,0.12868433963538484,0.14706723011376868,0.09455085143994868,0.10891026602855132,0.12868433963538484,0.14706723011376868
0.14,0.14,0.1041666666666666,0.14,0.05,0.05,0.0103135743306593,0.05,0.13286892411084678,0.12590927893492296,0.13286892411084678,0.12590927893492296,0.0963493859791448,0.08802087435224126,0.13286892411084678,0.12590927893492296
0.12,0.12,0.0797866778207676,0.12,0.05,0.05,0.0104166666666668,0.05,0.10160122023040749,0.12112612390443682,0.10160122023040749,0.12112612390443682,0.06067893304087294,0.0809827489833019,0.10160122023040749,0.12112612390443682
0.09,0.09,0.0507979555648274,0.09,0.06,0.06,0.0166335390731248,0.06,0.1136869812185729,0.12423393190674638,0.1136869812185729,0.12423393190674638,0.07196776595726724,0.08539533272545036,0.1136869812185729,0.12423393190674638
0.09,0.09,0.0520833333333333,0.09,0.06,0.06,0.020527248098364,0.06,0.11311733305793711,0.16254463892560433,0.11311733305793711,0.16254463892560433,0.080709843939091,0.1269614953044497,0.11311733305793711,0.16254463892560433
0.1,0.1,0.0625000000000001,0.1,0.07,0.07,0.0310481350281307,0.07,0.15306488060787107,0.16927974322039505,0.15306488060787107,0.16927974322039505,0.12093821703287458,0.1353095529423513,0.15306488060787107,0.16927974322039505
0.08,0.08,0.0370525434373036,0.08,0.07,0.07,0.03125,0.07,0.09782810256643336,0.1568844213527504,0.09782810256643336,0.1568844213527504,0.05803526103573456,0.12101658269642511,0.09782810256643336,0.1568844213527504
0.06,0.06,0.0197100844717905,0.06,0.06,0.06,0.0161189030772451,0.06,0.08989150355623289,0.09869270164865412,0.08989150355623289,0.09869270164865412,0.05198345420496106,0.060195999956251016,0.08989150355623289,0.09869270164865412
0.06,0.06,0.0207313261798103,0.06,0.05,0.05,0.0092814683491501,0.05,0.11244063001030685,0.10744808283027861,0.11244063001030685,0.10744808283027861,0.0769801903267057,0.06647592053053292,0.11244063001030685,0.10744808283027861
0.06,0.06,0.0208333333333334,0.06,0.06,0.06,0.0208333333333334,0.06,0.0967891791764982,0.09551147568176512,0.0967891791764982,0.09551147568176512,0.0576827162857554,0.05358770995170164,0.0967891791764982,0.09551147568176512
0.08,0.08,0.0372540812055253,0.08,0.07,0.07,0.03125,0.07,0.11363901492887514,0.0986761119049322,0.11363901492887514,0.0986761119049322,0.07791986890388174,0.059392540694220425,0.11363901492887514,0.0986761119049322
