recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.609,0.609,0.1694069863281416,0.609,0.794,0.7940000000000002,0.050682494769537,0.794,0.6659984439893717,0.5893256417971932,0.6659984439893717,0.5893256417971932,0.07596948247536235,0.13154299559234323,0.6659984439893717,0.5893256417971932
0.593,0.593,0.1573150026916229,0.593,0.776,0.776,0.0581903800874537,0.776,0.6842361039844289,0.6234816662987479,0.6842361039844289,0.6234816662987479,0.1784799097503621,0.2031057385952259,0.6842361039844289,0.6234816662987479
0.607,0.607,0.1643560651164374,0.607,0.755,0.755,0.0422654136631589,0.755,0.683328041438161,0.6296060122678495,0.683328041438161,0.6296060122678495,0.17448903126465432,0.2071910518375188,0.683328041438161,0.6296060122678495
0.624,0.624,0.1755651544719013,0.624,0.723,0.723,0.0162374099697413,0.723,0.6798723196022793,0.6155404274036052,0.6798723196022793,0.6155404274036052,0.17270389850207818,0.22763529963141999,0.6798723196022793,0.6155404274036052
0.606,0.606,0.1493183751549147,0.606,0.69,0.69,0.0809096030122447,0.69,0.7097099788976464,0.6447886580189436,0.7097099788976464,0.6447886580189436,0.16814510009777242,0.21466771908541735,0.7097099788976464,0.6447886580189436
0.607,0.607,0.1566813156629815,0.607,0.664,0.664,0.133716972959594,0.664,0.7317319182987283,0.6530367791134231,0.7317319182987283,0.6530367791134231,0.17482311924724298,0.21874972044880345,0.7317319182987283,0.6530367791134231
0.596,0.596,0.1466891963248495,0.596,0.631,0.631,0.1833247755803041,0.631,0.7088949887542776,0.6512698461848363,0.7088949887542776,0.6512698461848363,0.15535819653740018,0.22969228501472166,0.7088949887542776,0.6512698461848363
0.624,0.624,0.2018035842415648,0.624,0.609,0.609,0.1694069863281416,0.609,0.6682796252673674,0.6463401442038009,0.6682796252673674,0.6463401442038009,0.2333687499396754,0.2638003625764272,0.6682796252673674,0.6463401442038009
0.615,0.615,0.19953760302055,0.615,0.593,0.593,0.1573150026916229,0.593,0.6766958167661523,0.6741171025897277,0.6766958167661523,0.6741171025897277,0.22193832331165464,0.261051896216612,0.6766958167661523,0.6741171025897277
0.608,0.608,0.1801907311360213,0.608,0.607,0.607,0.1643560651164374,0.607,0.6867457614491922,0.6460822845691552,0.6867457614491922,0.6460822845691552,0.2221461247872541,0.2752170625448223,0.6867457614491922,0.6460822845691552
0.614,0.614,0.1977820544261233,0.614,0.624,0.624,0.1755651544719013,0.624,0.6799392516267672,0.6518782041068718,0.6799392516267672,0.6518782041068718,0.21626004632190413,0.24910605325511453,0.6799392516267672,0.6518782041068718
0.622,0.622,0.2016962897884706,0.622,0.606,0.606,0.1493183751549147,0.606,0.7043722262686577,0.6552727115158156,0.7043722262686577,0.6552727115158156,0.20439222326405382,0.25035406399983773,0.7043722262686577,0.6552727115158156
0.627,0.627,0.2217038217889544,0.627,0.607,0.607,0.1566813156629815,0.607,0.6925022569767546,0.6525109261773536,0.6925022569767546,0.6525109261773536,0.21474331472346517,0.25022602000726923,0.6925022569767546,0.6525109261773536
0.62,0.62,0.1992143871671998,0.62,0.596,0.596,0.1466891963248495,0.596,0.6846957061879506,0.6206504809071494,0.6846957061879506,0.6206504809071494,0.20232060990591205,0.2421866518657489,0.6846957061879506,0.6206504809071494
0.611,0.611,0.1861243618712862,0.611,0.624,0.624,0.2018035842415648,0.624,0.6704402741281507,0.6310412024059149,0.6704402741281507,0.6310412024059149,0.20769192658847152,0.24638931632567398,0.6704402741281507,0.6310412024059149
0.618,0.618,0.2055701593850863,0.618,0.615,0.615,0.19953760302055,0.615,0.6706519223921172,0.6528994902407366,0.6706519223921172,0.6528994902407366,0.22163896508499048,0.2447870670937975,0.6706519223921172,0.6528994902407366
0.611,0.611,0.1937021714077255,0.611,0.608,0.608,0.1801907311360213,0.608,0.6771303028923341,0.6571650973696849,0.6771303028923341,0.6571650973696849,0.24236401995668033,0.2594409640371368,0.6771303028923341,0.6571650973696849
